name,version,license,checksum_sha256,repository
accesskit,0.24.1,MIT OR Apache-2.0,d3b7f7f85a7e5f68090000ed7622545829afd484d210358702ae4cb97dd0c320,https://github.com/AccessKit/accesskit
accesskit_consumer,0.38.0,MIT OR Apache-2.0,5d10a236f96f87d70732e44520046785431ef01d5bcd6b041317bfadd2f88245,https://github.com/AccessKit/accesskit
accesskit_macos,0.26.3,MIT OR Apache-2.0,ce02dc63b43f0c9296af9ac946312a2dc8814427d7a64d2d600971dac55b6076,https://github.com/AccessKit/accesskit
accesskit_winit,0.32.2,Apache-2.0,1fe9a94394896352cc4660ca2288bd4ef883d83238853c038b44070c8f134313,https://github.com/AccessKit/accesskit
adler2,2.0.1,0BSD OR MIT OR Apache-2.0,320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa,https://github.com/oyvindln/adler2
ahash,0.8.12,MIT OR Apache-2.0,5a15f179cd60c4584b8a8c596927aadc462e27f2ca70c04e0071964a73ba7a75,https://github.com/tkaitchuck/ahash
allocator-api2,0.2.21,MIT OR Apache-2.0,683d7910e743518b0e34f1186f92494becacb047c7b6bf616c96772180fef923,https://github.com/zakarumych/allocator-api2
anyhow,1.0.104,MIT OR Apache-2.0,330a5ed07fa54e4702c9d6c4174f74427fc0ef6e214bbd677ae50a5099946470,https://github.com/dtolnay/anyhow
arboard,3.6.1,MIT OR Apache-2.0,0348a1c054491f4bfe6ab86a7b6ab1e44e45d899005de92f58b3df180b36ddaf,https://github.com/1Password/arboard
arrayvec,0.7.8,MIT OR Apache-2.0,d3fb67a6e08acf24fdeccbac2cb6ac4305825bd1f117462e0e6f2f193345ad56,https://github.com/bluss/arrayvec
ash,0.38.0+1.3.281,MIT OR Apache-2.0,0bb44936d800fea8f016d7f2311c6a4f97aebd5dc86f09906139ec848cf3a46f,https://github.com/ash-rs/ash
autocfg,1.5.1,Apache-2.0 OR MIT,f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53,https://github.com/cuviper/autocfg
bit-set,0.10.0,Apache-2.0 OR MIT,09ec2f926cc3060f09db9ebc5b52823d85268d24bb917e472c0c4bea35780a7d,https://github.com/contain-rs/bit-set
bit-vec,0.9.1,Apache-2.0 OR MIT,b71798fca2c1fe1086445a7258a4bc81e6e49dcd24c8d0dd9a1e57395b603f51,https://github.com/contain-rs/bit-vec
bitflags,1.3.2,MIT/Apache-2.0,bef38d45163c2f1dde094a7dfd33ccf595c92905c8f8f4fdc18d06fb1037718a,https://github.com/bitflags/bitflags
bitflags,2.13.1,MIT OR Apache-2.0,b588b76d00fde79687d7646a9b5bdf3cc0f655e0bbd080335a95d7e96f3587da,https://github.com/bitflags/bitflags
block-buffer,0.10.4,MIT OR Apache-2.0,3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71,https://github.com/RustCrypto/utils
block2,0.5.1,MIT,2c132eebf10f5cad5289222520a4a058514204aed6d791f1cf4fe8088b82d15f,https://github.com/madsmtm/objc2
block2,0.6.2,MIT,cdeb9d870516001442e364c5220d3574d2da8dc765554b4a617230d33fa58ef5,https://github.com/madsmtm/objc2
bytemuck,1.25.2,Zlib OR Apache-2.0 OR MIT,95832e849adfb21180ccb6826a99da14e5d266ae5c2e668e1602cf234f153797,https://github.com/Lokathor/bytemuck
bytemuck_derive,1.12.0,Zlib OR Apache-2.0 OR MIT,fc0e56a716f1e132ff6bf4bdac1c944a3fcdc1cae65f70a4a2a1ac3b401d2d1f,https://github.com/Lokathor/bytemuck
byteorder-lite,0.1.0,Unlicense OR MIT,8f1fe948ff07f4bd06c30984e69f5b4899c516a3ef74f34df92a2df2ab535495,https://github.com/image-rs/byteorder-lite
cc,1.4.5,MIT OR Apache-2.0,005ec2760ca554fae18df7a11195552ec576cd665632a881bc011d5bb2fd4d80,https://github.com/rust-lang/cc-rs
cfg-if,1.0.4,MIT OR Apache-2.0,9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801,https://github.com/rust-lang/cfg-if
cfg_aliases,0.2.2,MIT,f079e83a288787bcd14a6aea84cee5c87a67c5a3e660c30f557a3d24761b3527,https://github.com/katharostech/cfg_aliases
cgl,0.3.2,MIT / Apache-2.0,0ced0551234e87afee12411d535648dd89d2e7f34c78b753395567aff3d447ff,https://github.com/servo/cgl-rs
codespan-reporting,0.13.1,Apache-2.0,af491d569909a7e4dee0ad7db7f5341fef5c614d5b8ec8cf765732aba3cff681,https://github.com/brendanzab/codespan
color,0.3.3,Apache-2.0 OR MIT,2ec7c5eb7a16992b1904d76c517d170ab353b0e0b3d5a0c81a8a0cd1037893cf,https://github.com/linebender/color
core-foundation,0.9.4,MIT OR Apache-2.0,91e195e091a93c46f7102ec7818a2aa394e1e1771c3ab4825963fa03e45afb8f,https://github.com/servo/core-foundation-rs
core-foundation-sys,0.8.7,MIT OR Apache-2.0,773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b,https://github.com/servo/core-foundation-rs
core-graphics,0.23.2,MIT OR Apache-2.0,c07782be35f9e1140080c6b96f0d44b739e2278479f64e02fdab4e32dfd8b081,https://github.com/servo/core-foundation-rs
core-graphics-types,0.1.3,MIT OR Apache-2.0,45390e6114f68f718cc7a830514a96f903cccd70d02a8f6d9f643ac4ba45afaf,https://github.com/servo/core-foundation-rs
cpufeatures,0.2.17,MIT OR Apache-2.0,59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280,https://github.com/RustCrypto/utils
crc32fast,1.5.1,MIT OR Apache-2.0,8498c871161e1742aaa9d52551b2d6ebdd4c3d45a3be423e3728f33b955be550,https://github.com/srijs/rust-crc32fast
crypto-common,0.1.7,MIT OR Apache-2.0,78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a,https://github.com/RustCrypto/traits
cursor-icon,1.2.0,MIT OR Apache-2.0 OR Zlib,f27ae1dd37df86211c42e150270f82743308803d90a6f6e6651cd730d5e1732f,https://github.com/rust-windowing/cursor-icon
digest,0.10.7,MIT OR Apache-2.0,9ed9a281f7bc9b7576e61468ba615a66a5c8cfdff42420a70aa82701a3b1e292,https://github.com/RustCrypto/traits
dispatch,0.2.0,MIT,bd0c93bb4b0c6d9b77f4435b0ae98c24d17f1c45b2ff844c6151a07256ca923b,http://github.com/SSheldon/rust-dispatch
dispatch2,0.3.1,Zlib OR Apache-2.0 OR MIT,1e0e367e4e7da84520dedcac1901e4da967309406d1e51017ae1abfb97adbd38,https://github.com/madsmtm/objc2
dlib,0.5.3,MIT,ab8ecd87370524b461f8557c119c405552c396ed91fc0a8eec68679eab26f94a,https://github.com/elinorbgr/dlib
document-features,0.2.12,MIT OR Apache-2.0,d4b8a88685455ed29a21542a33abd9cb6510b6b129abadabdcef0f4c55bc8f61,https://github.com/slint-ui/document-features
dpi,0.1.2,Apache-2.0 AND MIT,d8b14ccef22fc6f5a8f4d7d768562a182c04ce9a3b3157b91390b52ddfdf1a76,https://github.com/rust-windowing/winit
ecolor,0.36.1,MIT OR Apache-2.0,fc883f505d446814c0226bef4b64564b9adb9966fc00c88c57ce6d827dd152d6,https://github.com/emilk/egui
eframe,0.36.1,MIT OR Apache-2.0,2afc0cbcdb6896b7bfb1dbbebaf7b9af9635ff38fd01e89bdd0174c1717b1857,https://github.com/emilk/egui/tree/main/crates/eframe
egui,0.36.1,MIT OR Apache-2.0,c977ac91dfaa651633fd9722e4ce9ccb32cda4c748b89a5cb57e504036e37c13,https://github.com/emilk/egui
egui-wgpu,0.36.1,MIT OR Apache-2.0,2fc362cc6bc8c1d7169c9cb0e7741ff1e03063681373d6e55cc3b25fd21213f3,https://github.com/emilk/egui/tree/main/crates/egui-wgpu
egui-winit,0.36.1,MIT OR Apache-2.0,9327fc8edef2c57db9bcbcacc82c8a4b1e8cc64cd41a67db4419dcf643d88c83,https://github.com/emilk/egui/tree/main/crates/egui-winit
egui_glow,0.36.1,MIT OR Apache-2.0,69b65e45f8d8d7c6d848b3ec41f642b54ad828033f1511d4b4c9adc09040166a,https://github.com/emilk/egui/tree/main/crates/egui_glow
either,1.18.0,MIT OR Apache-2.0,252afb9ae5eaa683babdc6a068b3f5726eb19e05070c731f9b2a23a7c3e8ed34,https://github.com/rayon-rs/either
emath,0.36.1,MIT OR Apache-2.0,dce03cf1604f74515830012c29991beb0b58f69e4e43f5afe22fa7afed65ccd5,https://github.com/emilk/egui/tree/main/crates/emath
epaint,0.36.1,MIT OR Apache-2.0,11863a6b2b7823010c1090ddf4706947bdda46766742def0673195cbf7ff4a73,https://github.com/emilk/egui/tree/main/crates/epaint
epaint_default_fonts,0.36.1,(MIT OR Apache-2.0) AND OFL-1.1 AND Ubuntu-font-1.0,18dee69613aac468922cf28a32025eb7d7ed6985b61f73245848e58f37876c98,https://github.com/emilk/egui/tree/main/crates/epaint_default_fonts
equivalent,1.0.2,Apache-2.0 OR MIT,877a4ace8713b0bcf2a4e7eec82529c029f1d0619886d18145fea96c3ffe5c0f,https://github.com/indexmap-rs/equivalent
errno,0.3.14,MIT OR Apache-2.0,39cab71617ae0d63f51a36d69f866391735b51691dbda63cf6f96d042b63efeb,https://github.com/lambda-fairy/rust-errno
euclid,0.22.14,MIT OR Apache-2.0,f1a05365e3b1c6d1650318537c7460c6923f1abdd272ad6842baa2b509957a06,https://github.com/servo/euclid
fallible-iterator,0.3.0,MIT/Apache-2.0,2acce4a10f12dc2fb14a218589d4f1f62ef011b2d0cc4b3cb1bba8e94da14649,https://github.com/sfackler/rust-fallible-iterator
fallible-streaming-iterator,0.1.9,MIT/Apache-2.0,7360491ce676a36bf9bb3c56c1aa791658183a54d2744120f27285738d90465a,https://github.com/sfackler/fallible-streaming-iterator
fastrand,2.5.0,Apache-2.0 OR MIT,da7c62ceae207dd37ea5b845da6a0696c799f85e97da1ab5b7910be3c1c80223,https://github.com/smol-rs/fastrand
fax,0.2.7,MIT,caf1079563223d5d59d83c85886a56e586cfd5c1a26292e971a0fa266531ac5a,https://github.com/pdf-rs/fax
fdeflate,0.3.7,MIT OR Apache-2.0,1e6853b52649d4ac5c0bd02320cddc5ba956bdb407c4b75a2c6b75bf51500f8c,https://github.com/image-rs/fdeflate
fearless_simd,0.4.1,Apache-2.0 OR MIT,b97b65636e5b9ef369943878ac74335ba1c55c1cb6adbf1e2c293c624248d693,https://github.com/linebender/fearless_simd
find-msvc-tools,0.1.12,MIT OR Apache-2.0,3e0f1c7c3a72c66fd80abe965175f7523475c0489a87d3ff9d6e8c87d87a9d2d,https://github.com/rust-lang/cc-rs
flate2,1.1.10,MIT OR Apache-2.0,6e634e2e0ebac1ee034020da1ca582e17ffe4e0f5e985823721e168928136dcb,https://github.com/rust-lang/flate2-rs
foldhash,0.2.0,Zlib,77ce24cb58228fbb8aa041425bb1050850ac19177686ea6e0f41a70416f56fdb,https://github.com/orlp/foldhash
font-types,0.12.4,MIT OR Apache-2.0,e64eb721ca85a34323425f4041adc5d82704d3782d5f8f03793bc012419dce23,https://github.com/googlefonts/fontations
foreign-types,0.5.0,MIT/Apache-2.0,d737d9aa519fb7b749cbc3b962edcf310a8dd1f4b67c91c4f83975dbdd17d965,https://github.com/sfackler/foreign-types
foreign-types-macros,0.2.4,MIT/Apache-2.0,ea5190182e6915eb873ddbc16e23b711b6eb1f9c00a0d0a3a91b5f6228475225,https://github.com/sfackler/foreign-types
foreign-types-shared,0.3.1,MIT/Apache-2.0,aa9a19cbb55df58761df49b23516a86d432839add4af60fc256da840f66ed35b,https://github.com/sfackler/foreign-types
fs2,0.4.3,MIT/Apache-2.0,9564fc758e15025b46aa6643b1b77d047d1a56a1aea6e01002ac0c7026876213,https://github.com/danburkert/fs2-rs
generic-array,0.14.7,MIT,85649ca51fd72272d7821adaf274ad91c288277713d9c18820d8499a7ff69e9a,https://github.com/fizyk20/generic-array.git
getrandom,0.3.4,MIT OR Apache-2.0,899def5c37c4fd7b2664648c28120ecec138e4d395b459e5ca34f9cce2dd77fd,https://github.com/rust-random/getrandom
getrandom,0.4.3,MIT OR Apache-2.0,300e883d756b2e4ec94e02791f39b04b522276138852cfc41d9fb7e904106099,https://github.com/rust-random/getrandom
glifo,0.2.0,Apache-2.0 OR MIT,ed4a1bb24121291d27230c1b1b44e07d6a9b28cefdb32fe1581dfb84e14f940a,https://github.com/linebender/vello
glow,0.17.0,MIT OR Apache-2.0 OR Zlib,29038e1c483364cc6bb3cf78feee1816002e127c331a1eec55a4d202b9e1adb5,https://github.com/grovesNL/glow
glutin,0.32.3,Apache-2.0,12124de845cacfebedff80e877bb37b5b75c34c5a4c89e47e1cdd67fb6041325,https://github.com/rust-windowing/glutin
glutin-winit,0.5.0,MIT,85edca7075f8fc728f28cb8fbb111a96c3b89e930574369e3e9c27eb75d3788f,https://github.com/rust-windowing/glutin
gpu-allocator,0.28.0,MIT OR Apache-2.0,51255ea7cfaadb6c5f1528d43e92a82acb2b96c43365989a28b2d44ee38f8795,https://github.com/Traverse-Research/gpu-allocator
guillotiere,0.7.0,MIT/Apache-2.0,6b17e70c989c36bad147b27a58d148c0741c51448aa5653436547323e524d0ab,https://github.com/nical/guillotiere
half,2.7.1,MIT OR Apache-2.0,6ea2d84b969582b4b1864a92dc5d27cd2b77b622a8d79306834f1be5ba20d84b,https://github.com/VoidStarKat/half-rs
harfrust,0.12.0,MIT,c03d949a14aa089bbb282f7dd76a498a7f684428e4257202efc119ec010376f9,https://github.com/harfbuzz/harfrust
hashbrown,0.16.1,MIT OR Apache-2.0,841d1cc9bed7f9236f321df977030373f4a4163ae1a7dbfe1a51a2c1a51d9100,https://github.com/rust-lang/hashbrown
hashbrown,0.17.1,MIT OR Apache-2.0,ed5909b6e89a2db4456e54cd5f673791d7eca6732202bbf2a9cc504fe2f9b84a,https://github.com/rust-lang/hashbrown
